t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
3.38, 949, 227, 2.6205026523000647, 62.507999999999996, 0.051965185041220364
3.39, 949, 227, 2.6425542990887747, 62.507999999999996, 0.05100641778953734
3.4, 949, 227, 2.6659482200298408, 62.507999999999996, 0.0500476505378543
3.41, 949, 227, 2.6879039900933823, 62.507999999999996, 0.049184760011339576
3.42, 948, 227, 2.7086133627297357, 62.507999999999996, 0.04832186948482485
3.44, 948, 227, 2.7509908752541254, 62.507999999999996, 0.04650021170662708
3.45, 948, 227, 2.7715084944401425, 62.507999999999996, 0.04563732118011235
3.46, 947, 227, 2.791930236900991, 62.507999999999996, 0.044870307378765927
3.48, 947, 227, 2.830376803693481, 62.507999999999996, 0.04324040305090478
3.49, 947, 227, 2.8498397789026466, 62.507999999999996, 0.042377512524390044
3.5, 947, 227, 2.8700697679131584, 62.507999999999996, 0.041610498723043614
3.51, 946, 228, 2.889245112946819, 62.507999999999996, 0.0409393616468655
3.52, 946, 228, 2.908228704530143, 62.507999999999996, 0.04017234784551907
3.54, 946, 228, 2.944661860094098, 62.507999999999996, 0.038638320242826214
3.55, 945, 228, 2.964124835303264, 62.507999999999996, 0.03787130644147979
3.56, 945, 228, 2.983779563962766, 62.507999999999996, 0.03700841591496506
3.57, 945, 228, 3.003721922797773, 62.507999999999996, 0.03614552538845033
3.58, 944, 228, 3.0241436652586215, 62.507999999999996, 0.0352826348619356
3.59, 944, 228, 3.044853037894975, 62.507999999999996, 0.03441974433542087
3.61, 943, 228, 3.086271783167682, 62.507999999999996, 0.03269396328239141
3.62, 942, 228, 3.1065017721781945, 62.507999999999996, 0.031926949481044985
3.63, 942, 228, 3.1259647473873597, 62.507999999999996, 0.031064058954530255
3.65, 941, 228, -3.121362664579281, 62.507999999999996, 0.02962590807700571
3.66, 941, 228, -3.1042007307741546, 62.507999999999996, 0.028858894275659283
3.67, 940, 228, -3.087134673694197, 62.507999999999996, 0.02818775719948116
3.68, 940, 228, -3.069493356263229, 62.507999999999996, 0.027420743398134734
3.69, 939, 228, -3.051468531931588, 62.507999999999996, 0.026653729596788307
3.7, 939, 228, -3.0333478308747788, 62.507999999999996, 0.02588671579544188
3.71, 938, 228, -3.015802390168979, 62.507999999999996, 0.02521557871926376
3.7199999999999998, 938, 228, -2.9997909770658726, 62.507999999999996, 0.024544441643085637
3.73, 937, 228, -2.9842589475886077, 62.507999999999996, 0.023873304566907512
3.75, 936, 228, -2.953482518809582, 62.507999999999996, 0.02262690713971957
3.76, 935, 228, -2.9378546126071488, 62.507999999999996, 0.021955770063541446
3.77, 935, 228, -2.9222267064047154, 62.507999999999996, 0.021284632987363324
3.7800000000000002, 934, 228, -2.9076534441791333, 62.507999999999996, 0.020709372636353505
3.79, 934, 228, -2.8932719354038876, 62.507999999999996, 0.020038235560175383
3.8, 933, 228, -2.8793698102544836, 62.507999999999996, 0.019462975209165564
3.81, 933, 228, -2.865851192005753, 62.507999999999996, 0.01888771485815574
3.82, 932, 228, -2.8530037108332, 62.507999999999996, 0.018408331232314227
3.84, 931, 227, -2.8274046252132634, 62.507999999999996, 0.017161933805126286
3.85, 931, 227, -2.815324157842057, 62.507999999999996, 0.01668255017928477
3.87, 930, 227, -2.7900127023976253, 62.507999999999996, 0.01562790620243343
3.88, 929, 227, -2.777356974675409, 62.507999999999996, 0.015052645851423612
3.89, 928, 226, -2.7642218633273514, 62.507999999999996, 0.01438150877524549
3.9, 928, 226, -2.7518537657806403, 62.507999999999996, 0.013806248424235671
3.91, 927, 226, -2.740060928584939, 62.507999999999996, 0.013326864798394154
3.92, 927, 226, -2.7288433517402475, 62.507999999999996, 0.012847481172552638
3.93, 926, 225, -2.7182010352465658, 62.507999999999996, 0.012272220821542819
3.94, 926, 225, -2.707079335127043, 62.507999999999996, 0.011792837195701301
3.96, 925, 225, -2.685986455590016, 62.507999999999996, 0.010929946669186572
3.9699999999999998, 925, 225, -2.675631769271839, 62.507999999999996, 0.010450563043345054
3.98, 924, 224, -2.6667152338311872, 62.507999999999996, 0.009875302692335235
3.99, 924, 224, -2.6582780820163765, 62.507999999999996, 0.009587672516830327
4.0, 923, 224, -2.6501285603770706, 62.507999999999996, 0.009204165616157113
4.03, 922, 223, -2.6260635023598264, 62.507999999999996, 0.008053644914137474
4.04, 921, 223, -2.6179139807205205, 62.507999999999996, 0.007670138013464261
4.05, 920, 222, -2.6096685823560466, 62.507999999999996, 0.007190754387622745
4.08, 919, 221, -2.5906849907727225, 62.507999999999996, 0.006136110410771409
4.1, 918, 221, -2.580138551004209, 62.507999999999996, 0.005752603510098196
4.11, 918, 221, -2.575248838020626, 62.507999999999996, 0.00556085005976159
4.12, 917, 220, -2.569304481060191, 62.507999999999996, 0.005081466433920073
4.13, 917, 220, -2.563647754275261, 62.507999999999996, 0.0048897129835834665
4.14, 916, 220, -2.558949794742014, 62.507999999999996, 0.00469795953324686
4.15, 916, 219, -2.553964205033262, 62.507999999999996, 0.004218575907405343
4.16, 915, 219, -2.549457998950352, 62.507999999999996, 0.00412269918223704
4.17, 914, 218, -2.54562292994362, 62.507999999999996, 0.003739192281563827
4.18, 914, 218, -2.541500230761383, 62.507999999999996, 0.003547438831227221
4.19, 913, 218, -2.537761038479819, 62.507999999999996, 0.0033556853808906144
4.2, 913, 217, -2.534405353098929, 62.507999999999996, 0.0030680552053857046
4.21, 912, 217, -2.530762037542533, 62.507999999999996, 0.002876301755049098
4.23, 911, 216, -2.5241465435059203, 62.507999999999996, 0.0023969181292075818
4.25, 911, 216, -2.5201197210488515, 62.507999999999996, 0.0023010414040392784
4.27, 910, 215, -2.5157093916911095, 62.507999999999996, 0.0019175345033660652
4.3, 908, 214, -2.5078475002273084, 62.507999999999996, 0.0013422741523562457
4.31, 908, 214, -2.5062175958994475, 62.507999999999996, 0.0012463974271879426
4.32, 907, 213, -2.504875321747091, 62.507999999999996, 0.0010546439768513358
4.33, 907, 213, -2.5037248010450717, 62.507999999999996, 0.0009587672516830326
4.34, 906, 212, -2.5031495406940616, 62.507999999999996, 0.0007670138013464262
4.35, 906, 212, -2.5021907734423787, 62.507999999999996, 0.0006711370761781229
4.37, 905, 211, -2.499793855313171, 62.507999999999996, 0.0003835069006732131
4.38, 904, 211, -2.4982598277104784, 62.507999999999996, 0.0003835069006732131
4.4, 903, 210, -2.495958786306439, 62.507999999999996, 0.0
4.42, 902, 210, -2.495000019054756, 62.507999999999996, 0.0
4.43, 902, 209, -2.495000019054756, 62.507999999999996, -0.00019175345033660654
4.45, 901, 208, -2.495095895779924, 62.507999999999996, -0.0003835069006732131
4.47, 900, 208, -2.494424758703746, 62.507999999999996, -0.0003835069006732131
4.48, 899, 207, -2.494041251803073, 62.507999999999996, -0.0006711370761781229
4.52, 897, 206, -2.4936577449023996, 62.507999999999996, -0.0008628905265147294
